number,word,synonym
11001,artifice,trickery
11001,artifice,deception
11001,artifice,guile
11001,artifice,cunning
11001,artifice,craftiness
11001,artifice,duplicity
11001,artifice,pretense
11001,artifice,sham
11001,artifice,feigning
11001,artifice,simulation
11001,artifice,dissimulation
11001,artifice,imposture
11001,artifice,fraud
11001,artifice,deceit
11001,artifice,wiles
11001,artifice,stratagem
11001,artifice,ruse
11001,artifice,scheme
11001,artifice,plot
11001,artifice,machination
11001,artifice,maneuver
11001,artifice,contrivance
11001,artifice,subterfuge
11001,artifice,legerdemain
11001,artifice,chicanery
11001,artifice,sophistry
11001,artifice,artfulness
11001,artifice,finesse
11001,artifice,manipulation
11001,artifice,stagecraft
11001,artifice,affectation
11001,artifice,insincerity
11001,artifice,dishonesty
11001,artifice,falsehood
11001,artifice,hoax
11001,artifice,imitation
11001,artifice,forgery
11001,artifice,counterfeit
11001,artifice,shamming
11001,artifice,posing
11001,artifice,acting
11001,artifice,affectation
11001,artifice,studied behavior
11001,artifice,calculated behavior
11001,artifice,artificiality
11001,artifice,contrivedness
11001,artifice,elaborateness
11001,artifice,ostentation
11001,artifice,affectedness
11001,artifice,insincerity
11001,artifice,show
11001,artifice,display
11001,artifice,pose
11001,artifice,facade
11001,artifice,masquerade
11001,artifice,veneer
11001,artifice,cloak
11001,artifice,pretext
11001,artifice,semblance
11001,artifice,blind
11001,artifice,disguise
11001,artifice,cloak and dagger
11001,artifice,underhandedness
11001,artifice,double-dealing
11001,artifice,skulduggery
11001,artifice,sharp practice
11001,artifice,dirty trick
11001,artifice,a put-on
11001,artifice,humbug
11001,artifice,bluff
11001,artifice,spoof
11001,artifice,fabrication
11001,artifice,invention
11001,artifice,concoction
11001,artifice,illusion
11001,artifice,delusion
11001,artifice,mirage
11001,artifice,optical illusion
11001,artifice,fake
11001,artifice,phony
11001,artifice,pseudo
11001,artifice,ersatz
11001,artifice,mock
11001,artifice,simulated
11001,artifice,manufactured
11001,artifice,premeditation
11001,artifice,design
11001,artifice,planning
11001,artifice,calculation
11001,artifice,deliberateness
11001,artifice,forethought
11001,artifice,prearrangement
11001,artifice,staging
11001,artifice,setup
11001,artifice,gaming the system
11001,artifice,playing games
11001,artifice,wheeling and dealing
11001,artifice,smoke and mirrors
11001,artifice,byzantine maneuver
11001,artifice,Machiavellianism
11001,artifice,casuistry
11001,artifice,sophism
11001,artifice,quibbling
11001,artifice,equivocation
11001,artifice,paltering
11001,artifice,speciousness
11001,artifice,fallacy
11001,artifice,misrepresentation
11001,artifice,distortion
11001,artifice,perversion
11001,artifice,misleading
11001,artifice,obfuscation
11001,artifice,camoflage
11001,artifice,artifice
11001,artifice,stratagem
11001,artifice,sleight of hand
11001,artifice,backhandedness
11001,artifice,skullduggery
11001,artifice,trick
11001,artifice,ploy
11001,artifice,dodge
11001,artifice,maneuvering
11001,artifice,gaming
11001,artifice,artfulness
11001,artifice,diplomacy
11001,artifice,tact
11001,artifice,ingenuity
11001,artifice,resourcefulness
11001,artifice,inventiveness
11001,artifice,cleverness
11001,artifice,skill
11001,artifice,ability
11001,artifice,talent
11001,artifice,knack
11001,artifice,facility
11001,artifice,expertise
11001,artifice,proficiency
11001,artifice,adroitness
11001,artifice,dexterity
11001,artifice,mastery
11001,artifice,virtuosity
11001,artifice,showmanship
11001,artifice,art
11001,artifice,craft
11001,artifice,technique
11001,artifice,form
11001,artifice,style
11001,artifice,manner
11001,artifice,mode
11001,artifice,method
11001,artifice,approach
11001,artifice,way
11001,artifice,means
11001,artifice,device
11001,artifice,instrument
11001,artifice,tool
11001,artifice,implement
11001,artifice,appliance
11001,artifice,gadget
11001,artifice,mechanism
11001,artifice,system
11001,artifice,procedure
11001,artifice,process
11001,artifice,operation
11001,artifice,function
11001,artifice,performance
11001,artifice,execution
11001,artifice,application
11001,artifice,use
11001,artifice,employment
11001,artifice,exercise
11001,artifice,practice
11001,artifice,skillfulness
11001,artifice,ability
11001,artifice,talent
11001,artifice,knack
11001,artifice,facility
11001,artifice,expertise
11001,artifice,proficiency
11001,artifice,adroitness
11001,artifice,dexterity
11001,artifice,mastery
11001,artifice,virtuosity
11001,artifice,know-how
11001,artifice,competence
11001,artifice,capability
11001,artifice,capacity
11001,artifice,aptitude
11001,artifice,genius
11001,artifice,gift
11001,artifice,flair
11001,artifice,bent
11001,artifice,penchant
11001,artifice,predilection
11001,artifice,inclination
11001,artifice,disposition
11001,artifice,propensity
11001,artifice,tendency
11001,artifice,vocation
11001,artifice,calling
11001,artifice,mission
11001,artifice,purpose
11001,artifice,aim
11001,artifice,objective
11001,artifice,goal
11001,artifice,end
11001,artifice,target
11001,artifice,destination
11001,artifice,intent
11001,artifice,intention
11001,artifice,design
11001,artifice,plan
11001,artifice,scheme
11001,artifice,project
11001,artifice,undertaking
11001,artifice,venture
11001,artifice,enterprise
