word_id,word,source
13287,bloodshed,buntan
13288,horrific,buntan
13289,commercially,buntan
13290,groundbreaking,buntan
13291,copyright,buntan
13292,duplication,buntan
13293,the supreme court,buntan
13294,death knell,buntan
13295,piracy,buntan
13296,intellectual property,buntan
13297,abrasion,buntan
13298,corrosion,buntan
13299,compendium,buntan
13300,data back,buntan
13301,craftsmanship,buntan
13302,resourcefulness,buntan
13303,earthenware,buntan
13304,woefully,buntan
13305,unqualified,buntan
13306,strip a of b,buntan
13307,grinding,buntan
13308,conjure up,buntan
13309,self-interest,buntan
13310,be cut out for,buntan
13311,swear an oath,buntan
13312,plead for,buntan
13313,potion,buntan
13314,throw a match,buntan
13315,hominid,buntan
13316,physiological,buntan
13317,homo erectus,buntan
13318,forerunner,buntan
13319,aberrant,buntan
13320,reach a consensus,buntan
13321,cranium,buntan
13322,homo sapiens,buntan
13323,ragtag,buntan
13324,sporadically,buntan
13325,have nothing to do with,buntan
13326,proclamation,buntan
13327,a handful of,buntan
13328,cause a stir among,buntan
13329,excavator,buntan
13330,scribe,buntan
13331,earthwork,buntan
13332,ritualistic,buntan
13333,radiocarbon dating,buntan
13334,as yet,buntan
13335,neolithic age,buntan
13336,set a precedent for,buntan
13337,exquisitely,buntan
13338,ostensibly,buntan
13339,decommission,buntan
13340,cease sanctum,buntan
13341,collectively,buntan
13342,cast doubt on,buntan
13343,hang on to,buntan
13344,chafe at,buntan
13345,prophesy,buntan
13346,chimera,buntan
13347,as such,buntan
13348,cataclysmic,buntan
13349,eschatology,buntan
13350,theocracy,buntan
13351,solar deity,buntan
13352,human sacrifice,buntan
13353,astrology,buntan
13354,fall on,buntan
13355,by-product,buntan
13356,be disposed to do,buntan
13357,like-minded,buntan
13358,fire up,buntan
13359,give out,buntan
13360,run aground,buntan
13361,seaboard,buntan
13362,seal one's fate,buntan
13363,anything but,buntan
13364,set a in motion,buntan
13365,spring tide,buntan
13366,logistics,buntan
13367,attributable to,buntan
13368,workforce,buntan
13369,long-standing,buntan
13370,kick-start,buntan
13371,in lieu of,buntan
13372,gas-guzzling,buntan
13373,commemoration,buntan
13374,subjugation,buntan
13375,enslavement,buntan
13376,in the wake of,buntan
13377,unjustified,buntan
13378,ire,buntan
13379,civil rights,buntan
13380,entrenched,buntan
13381,pay tribute to,buntan
13382,menacing,buntan
13383,tyrannize,buntan
13384,sadistic,buntan
13385,grass-roots,buntan
13386,sentient,buntan
13387,mistreat,buntan
13388,be intended to do,buntan
13389,uncompensated,buntan
13390,redistribution,buntan
13391,cast a ballot,buntan
13392,subject to,buntan
13393,go to the polls,buntan
13394,render a b,buntan
13395,underpinning,buntan
13396,blockade,buntan
13397,unintended,buntan
13398,authoritarian regime,buntan
13399,unilaterally,buntan
13400,impetuously,buntan
13401,pull out,buntan
13402,in coordination with,buntan
13403,follow through,buntan
13404,in office,buntan
13405,contrary to,buntan
13406,conventional wisdom,buntan
13407,portrayal,buntan
13408,the bulk of,buntan
13409,odds,buntan
13410,deliver on,buntan
13411,out of sync,buntan
13412,influence peddling,buntan
13413,embezzlement,buntan
13414,attribute a to b,buntan
13415,track record,buntan
13416,upstanding,buntan
13417,meritocracy,buntan
13418,disenchantment,buntan
13419,detractor,buntan
13420,viciously,buntan
13421,divisive,buntan
13422,the status quo,buntan
13423,gear up to do,buntan
13424,dissenter,buntan
13425,interest group,buntan
13426,pile up,buntan
13427,keep up with,buntan
13428,file for,buntan
13429,be on the hook for,buntan
13430,think tank,buntan
13431,shore up,buntan
13432,strategic default,buntan
13433,go all out to do,buntan
13434,fall behind,buntan
13435,walk way from,buntan
13436,in the red,buntan
13437,be left holding the bag,buntan
13438,bottom line,buntan
13439,burgeoning,buntan
13440,shortfall,buntan
13441,power grid,buntan
13442,on the drawing board,buntan
13443,domestically,buntan
13444,resort to,buntan
13445,drive up,buntan
13446,pass on,buntan
13447,at the expense of,buntan
13448,trade-off,buntan
13449,impoverished,buntan
13450,subsist on,buntan
13451,shoot up,buntan
13452,bring in,buntan
13453,climb out of,buntan
13454,poverty line,buntan
13455,turnaround,buntan
13456,subvention,buntan
13457,beefed-up,buntan
13458,economic downturn,buntan
13459,account for,buntan
13460,come up with,buntan
13461,arbitrarily,buntan
13462,inflated,buntan
13463,deregulation,buntan
13464,outsource,buntan
13465,budding,buntan
13466,at one time,buntan
13467,context-sensitive,buntan
13468,vertical integration,buntan
13469,downsizing,buntan
13470,human resources department,buntan
13471,algorithm,buntan
13472,outdo,buntan
13473,transparency,buntan
13474,impartial,buntan
13475,work out,buntan
13476,more often than not,buntan
13477,top-down hierarchy,buntan
13478,dictate,buntan
13479,a vast array of,buntan
13480,at one's fingertips,buntan
13481,breaking news,buntan
13482,swiftly,buntan
13483,come out with,buntan
13484,social networking site,buntan
13485,shut down,buntan
13486,interfere with,buntan
13487,jasmine revolution,buntan
13488,multinational corporation,buntan
13489,telemedicine,buntan
13490,distance learning,buntan
13491,equestrian,buntan
13492,pivot on,buntan
13493,disallow,buntan
13494,genetically modified,buntan
13495,living modified organism,buntan
13496,telecommunication,buntan
13497,radio wave,buntan
13498,light wave,buntan
13499,photon,buntan
13500,neutrino,buntan
13501,interact with,buntan
13502,background noise,buntan
13503,sound wave,buntan
13504,be obliged to do,buntan
13505,condensation,buntan
13506,refrigerant,buntan
13507,dry up,buntan
13508,stumble upon,buntan
13509,dated,buntan
13510,nothing short of,buntan
13511,coax out,buntan
13512,coarsely,buntan
13513,wind up doing,buntan
13514,gaseous,buntan
13515,in a broad sense,buntan
13516,stand out,buntan
13517,odorless,buntan
13518,chemical reaction,buntan
13519,be keyed up,buntan
13520,building block,buntan
13521,size up,buntan
13522,trial and error,buntan
13523,biomimicry,buntan
13524,bur,buntan
13525,celsius,buntan
13526,phenomenally,buntan
13527,eco-friendly,buntan
13528,abstain from,buntan
13529,saturated,buntan
13530,bum rap,buntan
13531,succumb to,buntan
13532,gastrointestinal system,buntan
13533,enteric,buntan
13534,prevail over,buntan
13535,serotonin,buntan
13536,be loaded with,buntan
13537,saline solution,buntan
13538,fatty acid,buntan
13539,deceptively,buntan
13540,pull through,buntan
13541,discriminate against,buntan
13542,correspond with,buntan
13543,back up,buntan
13544,elate,buntan
13545,decode,buntan
13546,ensuing,buntan
13547,delve into,buntan
13548,dead end,buntan
13549,team up,buntan
13550,gene therapy,buntan
13551,congenital,buntan
13552,monolingual,buntan
13553,neurological,buntan
13554,rewire,buntan
13555,multitasking,buntan
13556,alzheimer's,buntan
13557,code switching,buntan
13558,multilingualism,buntan
13559,overprescribe,buntan
13560,impervious to,buntan
13561,medical intervention,buntan
13562,alternative treatment,buntan
13563,break out of,buntan
13564,e. coli,buntan
13565,microbiologist,buntan
13566,dermatology,buntan
13567,dosage,buntan
13568,overexpose,buntan
13569,double-helix structure,buntan
13570,as anticipated,buntan
13571,set in,buntan
13572,wear and tear,buntan
13573,infrared light,buntan
13574,regenerative medicine,buntan
13575,spray-on,buntan
13576,right around the corner,buntan
13577,concurrent,buntan
13578,grievous,buntan
13579,stem cell,buntan
13580,retinal,buntan
13581,amputee,buntan
13582,self-generation,buntan
13583,iconic,buntan
13584,round up,buntan
13585,holding pen,buntan
13586,booming,buntan
13587,astoundingly,buntan
13588,mouthwatering,buntan
13589,unsustainable,buntan
13590,borne,buntan
13591,under fire,buntan
13592,laden,buntan
