word_id,word,source
12551,incision,derujun
12552,figment,derujun
12553,petrify,derujun
12554,appall,derujun
12555,altruistic,derujun
12556,flout,derujun
12557,encapsulate,derujun
12558,litany,derujun
12559,irreparably,derujun
12560,fruition,derujun
12561,adroit,derujun
12562,excruciating,derujun
12563,versatility,derujun
12564,incontrovertible,derujun
12565,assuage,derujun
12566,pander,derujun
12567,budge,derujun
12568,ember,derujun
12569,incarcerate,derujun
12570,sheepishly,derujun
12571,wilt,derujun
12572,pariah,derujun
12573,extrovert,derujun
12574,bravado,derujun
12575,contrieve,derujun
12576,transpire,derujun
12577,queasy,derujun
12578,livid,derujun
12579,elucidation,derujun
12580,scamper,derujun
12581,brusquely,derujun
12582,awry,derujun
12583,convoluted,derujun
12584,regenerate,derujun
12585,perplexed,derujun
12586,typify,derujun
12587,stipulation,derujun
12588,depreciate,derujun
12589,autonomously,derujun
12590,tatter,derujun
12591,careen,derujun
12592,extenuating,derujun
12593,chiseled,derujun
12594,deadlock,derujun
12595,blare,derujun
12596,regurgitate,derujun
12597,illegible,derujun
12598,scam,derujun
12599,equitable,derujun
12600,innately,derujun
12601,consighment,derujun
12602,frazzled,derujun
12603,irrepressible,derujun
12604,debrief,derujun
12605,expropriate,derujun
12606,atrocious,derujun
12607,perspire,derujun
12608,quizzical,derujun
12609,insurgency,derujun
12610,expletive,derujun
12611,headway,derujun
12612,cliched,derujun
12613,ensconce,derujun
12614,premediated,derujun
12615,resonate,derujun
12616,resusciate,derujun
12617,conglomeration,derujun
12618,regress,derujun
12619,enthrall,derujun
12620,perforation,derujun
12621,procastinate,derujun
12622,nebulous,derujun
12623,subservient,derujun
12624,interlude,derujun
12625,ruse,derujun
12626,vilify,derujun
12627,incapacitate,derujun
12628,incubate,derujun
12629,anecdotal,derujun
12630,dispassionate,derujun
12631,tycoon,derujun
12632,unwitting,derujun
12633,cordially,derujun
12634,extraneous,derujun
12635,infantile,derujun
12636,acclimate,derujun
12637,apparation,derujun
12638,stampede,derujun
12639,annulment,derujun
12640,bombastic,derujun
12641,scrounge,derujun
12642,billow,derujun
12643,entwine,derujun
12644,debonair,derujun
12645,egregious,derujun
12646,drool,derujun
12647,heist,derujun
12648,maim,derujun
12649,trepidation,derujun
12650,elated,derujun
12651,embitter,derujun
12652,bungle,derujun
12653,connive,derujun
12654,dank,derujun
12655,cranky,derujun
12656,enliven,derujun
12657,magnanimous,derujun
12658,scrumptious,derujun
12659,putrid,derujun
12660,cogent,derujun
