word_id,word,source
13767,a cappella,supervocab
13768,abettor,supervocab
13769,abominate,supervocab
13770,aborigine,supervocab
13771,absentee vote,supervocab
13772,absenteeism,supervocab
13773,absolutism,supervocab
13774,abstruse,supervocab
13775,academic clique,supervocab
13776,accede to,supervocab
13777,accelerometer,supervocab
13778,acceptance letter,supervocab
13779,acerbic,supervocab
13780,acetic acid,supervocab
13781,achilles' tendon,supervocab
13782,acoustics,supervocab
13783,acquiesce in,supervocab
13784,acquiescent,supervocab
13785,acquitted of,supervocab
13786,acrimonious,supervocab
13787,act out,supervocab
13788,acting chairperson,supervocab
13789,active fault,supervocab
13790,active power,supervocab
13791,acupuncture,supervocab
13792,acute appendicitis,supervocab
13793,adapted for,supervocab
13794,adoption agency,supervocab
13795,adulate,supervocab
13796,adulterate,supervocab
13797,advocacy group,supervocab
13798,aerial cable,supervocab
13799,aerodynamics,supervocab
13800,affecting,supervocab
13801,afﬁliated company,supervocab
13802,afﬁnity,supervocab
13803,afﬂicted with,supervocab
13804,afﬂuent,supervocab
13805,agent orange,supervocab
13806,aggravated,supervocab
13807,agnosticism,supervocab
13808,air bladder,supervocab
13809,air force one,supervocab
13810,air turbulence,supervocab
13811,alfred adler,supervocab
13812,alien species,supervocab
13813,alkaline battery,supervocab
13814,alligator,supervocab
13815,alliteration,supervocab
13816,alma mater,supervocab
13817,also-ran,supervocab
13818,alternating current,supervocab
13819,ambling,supervocab
13820,ambrosial,supervocab
13821,amnesia,supervocab
13822,amount to,supervocab
13823,amputate,supervocab
13824,anathema,supervocab
13825,ancestor worship,supervocab
13826,anchor baby,supervocab
13827,angular velocity,supervocab
13828,animism,supervocab
13829,annelid,supervocab
13830,anomalous,supervocab
13831,anorexia nervosa,supervocab
13832,ante up,supervocab
13833,anthropology,supervocab
13834,antiquated,supervocab
13835,apartheid,supervocab
13836,aphorism,supervocab
13837,apocalyptic vision,supervocab
13838,apogee,supervocab
13839,apothegm,supervocab
13840,appeasement policy,supervocab
13841,applied voltage,supervocab
13842,apportion,supervocab
13843,apriori,supervocab
13844,aquatic plants and animals,supervocab
13845,arbitrage,supervocab
13846,arbitrary layoff,supervocab
13847,arc welding,supervocab
13848,archivolt,supervocab
13849,arithmetic progression,supervocab
13850,armageddon,supervocab
13851,arrant,supervocab
13852,art nouveau,supervocab
13853,arthropod,supervocab
13854,artiﬁcial insemination,supervocab
13855,ascending order,supervocab
13856,asexual reproduction,supervocab
13857,asphyxiate,supervocab
13858,assent to,supervocab
13859,assets and liabilities,supervocab
13860,atavism,supervocab
13861,athlete's foot,supervocab
13862,atmospheric pressure,supervocab
13863,atoll,supervocab
13864,atone for,supervocab
13865,atopic dermatitis,supervocab
13866,attenuator,supervocab
13867,attest to,supervocab
13868,auschwitz concentration camp,supervocab
13869,automated meteorological data acquisition system,supervocab
13870,automatic transmission,supervocab
13871,autonomic imbalance,supervocab
13872,avaricious,supervocab
13873,avatar,supervocab
13874,back on,supervocab
13875,back tax,supervocab
13876,bafﬂed,supervocab
13877,balance of payment,supervocab
13878,baleful,supervocab
13879,balkanization,supervocab
13880,ball bearing,supervocab
13881,bar chart,supervocab
13882,bar mitzvah,supervocab
13883,bargaining power,supervocab
13884,barometric altimeter,supervocab
13885,basalt,supervocab
13886,basic catalyst,supervocab
13887,basilica,supervocab
13888,bask in,supervocab
13889,battered wife,supervocab
13890,bawdy,supervocab
13891,be angling for,supervocab
13892,be decked out,supervocab
13893,be dying for,supervocab
13894,be ﬁred up for,supervocab
13895,be gunning for,supervocab
13896,be hemmed in by,supervocab
13897,be itching for,supervocab
13898,be laid up,supervocab
13899,be psyched up for,supervocab
13900,be sold on,supervocab
13901,be spoiling for,supervocab
13902,be steeped in,supervocab
13903,be sucked in,supervocab
13904,bear on,supervocab
13905,bearish market,supervocab
13906,beat oneself up,supervocab
13907,bedeviled with,supervocab
13908,beefy,supervocab
13909,belch,supervocab
13910,belligerent countries,supervocab
13911,beset with,supervocab
13912,bestial,supervocab
13913,bevel gear,supervocab
13914,big stick policy,supervocab
13915,bigoted,supervocab
13916,bilateral talks,supervocab
13917,billed as,supervocab
13918,binary system,supervocab
13919,binuclear family,supervocab
13920,biodegradable plastic,supervocab
13921,biomass energy,supervocab
13922,biosphere,supervocab
13923,bird of prey,supervocab
13924,black monday,supervocab
13925,black out,supervocab
13926,blank out,supervocab
13927,blasphemous,supervocab
13928,blather away,supervocab
13929,blitz tactics,supervocab
13930,bloat,supervocab
13931,bloated,supervocab
13932,blood-pressure gauge,supervocab
13933,blow over,supervocab
13934,blue house,supervocab
13935,blue whale,supervocab
13936,bluster,supervocab
13937,board meeting,supervocab
13938,board of trustees,supervocab
13939,bodily secretion,supervocab
13940,body fat percentage,supervocab
13941,body mass index,supervocab
13942,bona ﬁde,supervocab
13943,bone marrow bank,supervocab
13944,bone up on,supervocab
13945,booked for,supervocab
13946,bookkeeper,supervocab
13947,boom-and-bust cycle,supervocab
13948,boomerang kid,supervocab
13949,boorish,supervocab
13950,border on,supervocab
13951,border skirmish,supervocab
13952,botch up,supervocab
13953,bounced bill,supervocab
13954,bourse,supervocab
13955,bovine spongiform encephalopathy,supervocab
13956,bow out of,supervocab
13957,bow to,supervocab
13958,brahma,supervocab
13959,braille,supervocab
13960,brawny,supervocab
13961,break in,supervocab
13962,break into,supervocab
13963,breathe a into b,supervocab
13964,breeze through,supervocab
13965,brieﬁng,supervocab
13966,bring a around to b,supervocab
13967,bring off,supervocab
13968,bring out,supervocab
13969,brood over,supervocab
13970,browbeat,supervocab
13971,brush off,supervocab
13972,brussels,supervocab
13973,buckle down to,supervocab
13974,buff up,supervocab
13975,bulk up,supervocab
13976,bum around,supervocab
13977,bum off,supervocab
13978,buoy up,supervocab
13979,buoyancy,supervocab
13980,buoyancy gauge,supervocab
13981,butt in on,supervocab
13982,by-election result,supervocab
13983,byzantine art,supervocab
13984,cacophony,supervocab
13985,caliper,supervocab
13986,caliph,supervocab
13987,call market,supervocab
13988,calorimeter,supervocab
13989,cam gear,supervocab
13990,came out,supervocab
13991,camouﬂage,supervocab
13992,cancel out,supervocab
13993,canker sore,supervocab
13994,cantankerous,supervocab
13995,cap it off,supervocab
13996,capacitance,supervocab
13997,capillary action,supervocab
13998,capital gain,supervocab
13999,capitalize on,supervocab
14000,captious,supervocab
14001,carapace,supervocab
14002,carbon footprint,supervocab
14003,carbon nanotube,supervocab
14004,cardiac disease,supervocab
14005,cardiopulmonary resuscitation,supervocab
14006,career track,supervocab
14007,caretaker government,supervocab
14008,carl jung,supervocab
14009,carnivorous animal,supervocab
14010,carping,supervocab
14011,carrel,supervocab
14012,carry out,supervocab
14013,carry over,supervocab
14014,carry through,supervocab
14015,carve out,supervocab
14016,cash crop,supervocab
14017,castigate,supervocab
14018,castrate,supervocab
14019,castration,supervocab
14020,cataract induction,supervocab
14021,categorical imperative,supervocab
14022,catﬁsh,supervocab
14023,catharsis,supervocab
14024,cathode-ray tube,supervocab
14025,catholicism,supervocab
14026,caucasoid,supervocab
14027,cave in to,supervocab
14028,caviling,supervocab
14029,cease-ﬁre,supervocab
14030,cedar pollen allergy,supervocab
14031,celestial body,supervocab
14032,centrifugal dehydrator,supervocab
14033,centrifugal force,supervocab
14034,ceramic capacitor,supervocab
14035,cerebellum,supervocab
14036,cerebral cortex,supervocab
14037,cerebral hemorrhage,supervocab
14038,chagrined,supervocab
14039,chalk up,supervocab
14040,channel a into b,supervocab
14041,charge d'affaires,supervocab
14042,charged particles,supervocab
14043,charter school,supervocab
14044,chary,supervocab
14045,chemical compound,supervocab
14046,chemical fertilizer,supervocab
14047,chemical formula,supervocab
14048,chew on,supervocab
14049,chew over,supervocab
14050,chicanery,supervocab
14051,chicanos,supervocab
14052,chicken out,supervocab
14053,chicken pox,supervocab
14054,chill out,supervocab
14055,chime in on,supervocab
14056,chimerical,supervocab
14057,chlorine water,supervocab
14058,choleric,supervocab
14059,choosy,supervocab
14060,cif,supervocab
14061,circuit breaker,supervocab
14062,citizen judge system,supervocab
14063,civilian control,supervocab
14064,clamorous,supervocab
14065,clamp down on,supervocab
14066,classiﬁed ad,supervocab
14067,clean up,supervocab
14068,clerical error,supervocab
14069,cliffhanger election,supervocab
14070,cloak-and-dagger story,supervocab
14071,clockwise rotation,supervocab
14072,clown around,supervocab
14073,clue a in on b,supervocab
14074,co-education,supervocab
14075,coaxial cable,supervocab
14076,cogeneration,supervocab
14077,cognate,supervocab
14078,cognitive linguistics,supervocab
14079,cold wave,supervocab
14080,collate,supervocab
14081,colloidal solution,supervocab
14082,comatose patient,supervocab
14083,comb through,supervocab
14084,combative,supervocab
14085,combustible,supervocab
14086,come around to,supervocab
14087,come away with,supervocab
14088,come forward,supervocab
14089,come right out,supervocab
14090,come through,supervocab
14091,come up to,supervocab
14092,commit a to b,supervocab
14093,commonwealth of independent state,supervocab
14094,commuting allowance,supervocab
14095,companionable,supervocab
14096,compatibility,supervocab
14097,complaisant,supervocab
14098,complete medical check-up,supervocab
14099,complex fracture,supervocab
14100,comply with,supervocab
14101,compulsory education,supervocab
14102,con man,supervocab
14103,concur with,supervocab
14104,confederate,supervocab
14105,conﬁrmed,supervocab
14106,conform to,supervocab
14107,confounded,supervocab
14108,confucianism,supervocab
14109,congregational church,supervocab
14110,coniferous trees,supervocab
14111,conjugal,supervocab
14112,conk out,supervocab
14113,connect with,supervocab
14114,connecting rod,supervocab
14115,conscientious objector,supervocab
14116,conscionable,supervocab
14117,consent to,supervocab
14118,consignment sale,supervocab
14119,conspirator,supervocab
14120,consulate general,supervocab
14121,contend with,supervocab
14122,continental rationalism,supervocab
14123,continental shelf,supervocab
14124,continuing education,supervocab
14125,contour line,supervocab
14126,contrite,supervocab
14127,convalescent,supervocab
14128,convection oven,supervocab
14129,convert a into b,supervocab
14130,convert to,supervocab
14131,convertible currency,supervocab
14132,convex lens,supervocab
14133,convivial,supervocab
14134,convoke,supervocab
14135,cook up,supervocab
14136,cooped up,supervocab
14137,coordinate axis,supervocab
14138,cop out of,supervocab
14139,coral reef,supervocab
14140,cordillera,supervocab
14141,cordon off,supervocab
14142,corneal transplant,supervocab
14143,corona,supervocab
14144,coronary aneurysm,supervocab
14145,corporate headquarters,supervocab
14146,corpulent,supervocab
14147,corrupt autocracy,supervocab
14148,cosmic rays,supervocab
14149,cosmology,supervocab
14150,cosset,supervocab
14151,cotton on to,supervocab
14152,cough up,supervocab
14153,could do with,supervocab
14154,count in,supervocab
14155,count out,supervocab
14156,countermand,supervocab
14157,course syllabus,supervocab
14158,court injunction,supervocab
14159,courtesy call,supervocab
14160,courtly,supervocab
14161,covalent bond,supervocab
14162,cover up,supervocab
14163,covetous,supervocab
14164,crank up,supervocab
14165,crash diet,supervocab
14166,crash program,supervocab
14167,crass,supervocab
14168,craven,supervocab
14169,creationism,supervocab
14170,credit default swap,supervocab
14171,credit sale,supervocab
14172,credit-system high school,supervocab
14173,credulous,supervocab
14174,creole,supervocab
14175,crescent moon,supervocab
14176,crippled,supervocab
14177,cross out,supervocab
14178,cross section,supervocab
14179,cross-pollination,supervocab
14180,crotchety,supervocab
14181,cubic centimeter,supervocab
14182,cubism,supervocab
14183,cumulonimbus,supervocab
14184,cupidity,supervocab
14185,cupola,supervocab
14186,dabble at,supervocab
14187,dadaism,supervocab
14188,dandruff,supervocab
14189,dappled,supervocab
14190,dark energy,supervocab
14191,dark matter,supervocab
